Station,Date,"Avg Temp","RH Max","Vapor Pressure","Liquid Precip"
id,date,"deg F","%",kPa,in
mnc01,"11/25/2025",31.0,0.95,0.435,0.01
mnc01,"11/26/2025",31.03,0.905,0.391,0.0
mnc01,"11/27/2025",32.66,0.933,0.446,0.0
mnc01,"11/28/2025",32.75,0.944,0.445,0.0
mnc01,"11/29/2025",31.48,0.932,0.333,0.0
mnc01,"11/30/2025",31.7,0.971,0.407,0.0
mnc01,"12/01/2025",23.75,0.953,0.344,0.07
mtr01,"11/25/2025",33.7,0.939,0.479,0.0
mtr01,"11/26/2025",34.6,0.928,0.449,0.0
mtr01,"11/27/2025",33.35,0.916,0.418,0.0
mtr01,"11/28/2025",33.9,0.927,0.468,0.0
mtr01,"11/29/2025",32.19,0.918,0.388,0.0
mtr01,"11/30/2025",31.54,0.978,0.469,0.01
mtr01,"12/01/2025",26.4,0.978,0.381,0.15
nuc01,"11/25/2025",34.19,0.964,0.493,-999
nuc01,"11/26/2025",35.06,0.93,0.458,-999
nuc01,"11/27/2025",34.82,0.919,0.465,-999
nuc01,"11/28/2025",37.34,0.915,0.503,-999
nuc01,"11/29/2025",33.87,0.921,0.405,-999
nuc01,"11/30/2025",30.57,0.975,0.497,-999
nuc01,"12/01/2025",26.74,0.975,0.397,-999
nwd01,"11/25/2025",33.31,0.825,0.422,0.0
nwd01,"11/26/2025",33.49,0.793,0.377,0.0
nwd01,"11/27/2025",36.09,0.812,0.42,0.0
nwd01,"11/28/2025",37.69,0.808,0.447,0.0
nwd01,"11/29/2025",32.73,0.845,0.363,0.0
nwd01,"11/30/2025",31.81,0.971,0.434,0.0
nwd01,"12/01/2025",23.03,0.966,0.358,0.24
orm02,"11/25/2025",39.66,0.905,0.51,0.0
orm02,"11/26/2025",39.71,0.836,0.479,0.0
orm02,"11/27/2025",39.22,0.836,0.448,0.0
orm02,"11/28/2025",37.21,0.868,0.491,0.0
orm02,"11/29/2025",36.44,0.913,0.416,0.0
orm02,"11/30/2025",35.41,0.981,0.48,0.13
orm02,"12/01/2025",28.22,0.983,0.404,0.08
oth01,"11/25/2025",34.25,0.95,0.477,0.0
oth01,"11/26/2025",34.93,0.927,0.451,0.0
oth01,"11/27/2025",33.06,0.927,0.406,0.0
oth01,"11/28/2025",33.23,0.924,0.452,0.0
oth01,"11/29/2025",32.49,0.934,0.384,0.0
oth01,"11/30/2025",31.45,0.977,0.493,0.06
oth01,"12/01/2025",28.39,0.963,0.398,0.11
pai01,"11/25/2025",31.55,0.845,0.346,0.0
pai01,"11/26/2025",26.16,0.91,0.318,0.0
pai01,"11/27/2025",34.82,0.902,0.449,0.0
pai01,"11/28/2025",30.1,0.967,0.511,0.02
pai01,"11/29/2025",19.72,0.983,0.29,0.0
pai01,"11/30/2025",14.59,0.918,0.233,0.0
pai01,"12/01/2025",21.16,0.93,0.271,0.01
pbw01,"11/25/2025",38.78,0.7,0.447,-999
pbw01,"11/26/2025",32.18,0.879,0.434,-999
pbw01,"11/27/2025",34.48,0.926,0.483,-999
pbw01,"11/28/2025",43.72,0.894,0.485,-999
pbw01,"11/29/2025",29.13,0.892,0.341,-999
pbw01,"11/30/2025",20.29,0.923,0.273,-999
pbw01,"12/01/2025",23.07,0.954,0.314,-999
pgs01,"11/25/2025",31.09,0.95,0.465,0.0
pgs01,"11/26/2025",32.36,0.962,0.487,0.0
pgs01,"11/27/2025",32.89,0.961,0.431,0.0
pgs01,"11/28/2025",32.29,0.953,0.442,0.0
pgs01,"11/29/2025",30.23,0.95,0.363,0.0
pgs01,"11/30/2025",27.56,0.957,0.421,0.0
pgs01,"12/01/2025",28.77,0.943,0.415,0.03
pkh01,"11/25/2025",33.32,0.832,0.319,0.0
pkh01,"11/26/2025",25.09,0.904,0.315,0.0
pkh01,"11/27/2025",29.45,0.908,0.386,0.0
pkh01,"11/28/2025",32.11,0.944,0.476,0.01
pkh01,"11/29/2025",23.02,0.93,0.281,0.0
pkh01,"11/30/2025",18.04,0.876,0.255,0.0
pkh01,"12/01/2025",23.01,0.954,0.256,0.0
pkn01,"11/25/2025",32.56,0.857,0.395,0.0
pkn01,"11/26/2025",28.67,0.905,0.385,0.0
pkn01,"11/27/2025",35.12,0.913,0.415,0.0
pkn01,"11/28/2025",35.17,0.962,0.547,0.0
pkn01,"11/29/2025",22.52,0.936,0.309,0.0
pkn01,"11/30/2025",15.55,0.903,0.242,0.0
pkn01,"12/01/2025",20.84,0.911,0.24,0.0
pnr01,"11/25/2025",39.35,0.679,0.454,0.0
pnr01,"11/26/2025",31.34,0.917,0.428,0.0
pnr01,"11/27/2025",31.55,0.926,0.44,0.0
pnr01,"11/28/2025",41.18,0.935,0.447,0.0
pnr01,"11/29/2025",30.48,0.83,0.337,0.0
pnr01,"11/30/2025",20.92,0.918,0.281,0.0
pnr01,"12/01/2025",21.34,0.936,0.306,0.09
rfd01,"11/25/2025",34.92,0.968,0.458,0.0
rfd01,"11/26/2025",33.02,0.935,0.443,0.0
rfd01,"11/27/2025",34.19,0.951,0.464,0.0
rfd01,"11/28/2025",33.56,0.956,0.523,0.0
rfd01,"11/29/2025",28.89,0.979,0.325,0.0
rfd01,"11/30/2025",27.45,0.773,0.276,0.0
rfd01,"12/01/2025",23.42,0.918,0.291,0.0
san01,"11/25/2025",27.94,0.943,0.375,0.0
san01,"11/26/2025",29.17,0.937,0.393,0.0
san01,"11/27/2025",29.53,0.916,0.363,0.0
san01,"11/28/2025",34.52,0.901,0.399,0.0
san01,"11/29/2025",31.39,0.905,0.302,0.0
san01,"11/30/2025",30.45,0.911,0.391,0.0
san01,"12/01/2025",25.57,0.951,0.313,0.0
sbt01,"11/25/2025",31.74,0.917,0.382,0.0
sbt01,"11/26/2025",27.56,0.934,0.358,0.0
sbt01,"11/27/2025",36.0,0.875,0.443,0.0
sbt01,"11/28/2025",33.1,1.001,0.575,0.0
sbt01,"11/29/2025",21.92,1.001,0.312,0.0
sbt01,"11/30/2025",15.94,0.903,0.247,0.0
sbt01,"12/01/2025",20.94,0.916,0.237,0.0
scm01,"11/25/2025",35.58,0.993,0.397,0.0
scm01,"11/26/2025",30.94,0.977,0.42,0.0
scm01,"11/27/2025",34.21,0.969,0.447,0.0
scm01,"11/28/2025",34.66,1.002,0.604,0.0
scm01,"11/29/2025",25.76,0.997,0.354,0.0
scm01,"11/30/2025",19.77,0.952,0.281,0.0
scm01,"12/01/2025",20.54,0.957,0.267,0.01
sld01,"11/25/2025",32.21,0.955,0.383,0.0
sld01,"11/26/2025",32.98,0.963,0.353,0.0
sld01,"11/27/2025",36.91,0.936,0.399,0.0
sld01,"11/28/2025",38.46,0.918,0.38,0.0
sld01,"11/29/2025",34.38,0.908,0.271,0.0
sld01,"11/30/2025",20.19,0.95,0.317,0.0
sld01,"12/01/2025",19.64,0.959,0.248,0.1
slt01,"11/25/2025",34.08,0.972,0.475,0.0
slt01,"11/26/2025",33.53,0.904,0.437,0.0
slt01,"11/27/2025",34.28,0.92,0.415,0.0
slt01,"11/28/2025",37.12,0.908,0.489,0.0
slt01,"11/29/2025",35.15,0.847,0.364,0.0
slt01,"11/30/2025",30.4,0.975,0.453,0.0
slt01,"12/01/2025",25.91,0.885,0.309,0.0
stg01,"11/25/2025",29.87,0.799,0.335,0.0
stg01,"11/26/2025",27.4,0.875,0.337,0.0
stg01,"11/27/2025",33.59,0.872,0.447,0.0
stg01,"11/28/2025",29.14,0.987,0.495,0.03
stg01,"11/29/2025",18.39,0.991,0.271,0.0
stg01,"11/30/2025",14.74,0.905,0.238,0.0
stg01,"12/01/2025",21.02,0.925,0.252,0.0
stn01,"11/25/2025",31.57,0.918,0.384,0.01
stn01,"11/26/2025",28.03,0.877,0.349,0.0
stn01,"11/27/2025",34.14,0.945,0.448,0.0
stn01,"11/28/2025",31.73,1.005,0.573,0.0
stn01,"11/29/2025",22.15,1.013,0.326,0.0
stn01,"11/30/2025",16.03,0.903,0.247,0.0
stn01,"12/01/2025",21.08,0.922,0.253,0.0
twc01,"11/25/2025",33.74,0.992,0.61,0.01
twc01,"11/26/2025",34.83,0.989,0.593,0.0
twc01,"11/27/2025",37.08,0.958,0.58,0.0
twc01,"11/28/2025",37.88,0.965,0.569,0.0
twc01,"11/29/2025",37.74,0.95,0.45,0.0
twc01,"11/30/2025",40.03,0.966,0.466,0.1
twc01,"12/01/2025",31.2,0.957,0.442,0.01
wcf01,"11/25/2025",25.45,0.952,0.33,0.0
wcf01,"11/26/2025",29.04,0.952,0.343,0.0
wcf01,"11/27/2025",31.32,0.881,0.361,0.0
wcf01,"11/28/2025",37.97,0.828,0.382,0.0
wcf01,"11/29/2025",28.03,0.891,0.299,0.0
wcf01,"11/30/2025",17.06,0.915,0.269,0.0
wcf01,"12/01/2025",10.71,0.929,0.207,0.14
wfd01,"11/25/2025",29.33,0.812,0.298,0.0
wfd01,"11/26/2025",26.97,0.899,0.319,0.0
wfd01,"11/27/2025",34.0,0.897,0.402,0.0
wfd01,"11/28/2025",30.55,0.978,0.412,0.0
wfd01,"11/29/2025",22.76,0.975,0.31,0.05
wfd01,"11/30/2025",15.55,0.967,0.284,0.0
wfd01,"12/01/2025",14.5,0.969,0.232,0.05
wls01,"11/25/2025",36.96,0.929,0.493,0.0
wls01,"11/26/2025",32.97,0.953,0.465,0.0
wls01,"11/27/2025",36.15,0.97,0.51,0.0
wls01,"11/28/2025",42.47,0.982,0.701,0.0
wls01,"11/29/2025",30.41,1.027,0.443,0.0
wls01,"11/30/2025",24.38,0.758,0.271,0.0
wls01,"12/01/2025",25.44,0.864,0.279,0.0
wry02,"11/25/2025",31.74,0.829,0.335,0.0
wry02,"11/26/2025",24.54,0.895,0.291,0.0
wry02,"11/27/2025",35.1,0.907,0.435,0.0
wry02,"11/28/2025",30.57,0.962,0.506,0.01
wry02,"11/29/2025",19.11,0.98,0.278,0.0
wry02,"11/30/2025",14.13,0.912,0.221,0.0
wry02,"12/01/2025",20.76,0.92,0.261,0.03
yam01,"11/25/2025",27.2,0.885,0.293,0.0
yam01,"11/26/2025",27.87,0.87,0.317,0.0
yam01,"11/27/2025",31.23,0.936,0.38,0.0
yam01,"11/28/2025",32.46,0.97,0.403,0.0
yam01,"11/29/2025",21.42,0.925,0.284,0.0
yam01,"11/30/2025",22.58,0.981,0.329,0.0
yam01,"12/01/2025",15.82,0.939,0.24,0.0
yjk01,"11/25/2025",36.59,0.808,0.499,0.0
yjk01,"11/26/2025",35.98,0.781,0.401,0.0
yjk01,"11/27/2025",37.62,0.85,0.482,0.0
yjk01,"11/28/2025",38.37,0.809,0.507,0.0
yjk01,"11/29/2025",35.03,0.779,0.351,0.0
yjk01,"11/30/2025",31.48,0.988,0.417,0.0
yjk01,"12/01/2025",25.08,0.968,0.327,0.09
yuc01,"11/25/2025",34.7,0.976,0.587,0.0
yuc01,"11/26/2025",34.3,0.948,0.525,0.0
yuc01,"11/27/2025",36.87,0.938,0.533,0.0
yuc01,"11/28/2025",38.46,0.945,0.542,0.0
yuc01,"11/29/2025",37.95,0.844,0.379,0.0
yuc01,"11/30/2025",37.2,0.989,0.436,0.03
yuc01,"12/01/2025",30.17,0.964,0.411,0.02
yum02,"11/25/2025",31.28,0.806,0.351,0.0
yum02,"11/26/2025",27.8,0.864,0.317,0.0
yum02,"11/27/2025",33.76,0.878,0.444,0.0
yum02,"11/28/2025",30.68,0.975,0.514,0.04
yum02,"11/29/2025",20.48,0.974,0.295,0.0
yum02,"11/30/2025",15.53,0.907,0.239,0.0
yum02,"12/01/2025",21.67,0.912,0.261,0.01
