Station,Date,"Avg Temp","RH Max","Vapor Pressure","Liquid Precip"
id,date,"deg F","%",kPa,in
cow01,"11/30/2025",14.86,0.899,0.247,0.0
cow01,"12/01/2025",12.97,0.918,0.205,0.0
ctr01,"11/25/2025",30.54,0.963,0.418,0.0
ctr01,"11/26/2025",30.57,0.908,0.426,0.0
ctr01,"11/27/2025",30.97,0.894,0.424,0.0
ctr01,"11/28/2025",32.13,0.941,0.438,0.0
ctr01,"11/29/2025",33.85,0.828,0.316,0.0
ctr01,"11/30/2025",30.06,0.971,0.399,0.0
ctr01,"12/01/2025",27.62,0.97,0.258,0.0
ctr02,"11/25/2025",29.0,0.987,0.433,0.0
ctr02,"11/26/2025",29.85,0.921,0.418,0.0
ctr02,"11/27/2025",29.69,0.938,0.404,0.0
ctr02,"11/28/2025",31.4,0.943,0.423,0.0
ctr02,"11/29/2025",34.97,0.813,0.299,0.0
ctr02,"11/30/2025",29.78,0.979,0.405,0.0
ctr02,"12/01/2025",23.57,0.985,0.286,0.01
ctz01,"11/25/2025",33.19,1.013,0.58,0.0
ctz01,"11/26/2025",33.71,0.991,0.531,0.0
ctz01,"11/27/2025",35.13,0.994,0.539,0.0
ctz01,"11/28/2025",36.79,1.013,0.561,0.0
ctz01,"11/29/2025",36.73,0.975,0.405,0.0
ctz01,"11/30/2025",37.54,1.018,0.449,0.01
ctz01,"12/01/2025",29.83,0.963,0.424,0.05
cya01,"11/25/2025",36.36,0.963,0.529,-999
cya01,"11/26/2025",36.47,0.909,0.435,-999
cya01,"11/27/2025",38.68,0.933,0.508,-999
cya01,"11/28/2025",39.79,0.831,0.531,-999
cya01,"11/29/2025",37.23,0.776,0.367,-999
cya01,"11/30/2025",34.86,0.961,0.431,-999
cya01,"12/01/2025",27.21,0.924,0.365,-999
den01,"11/25/2025",38.53,0.682,0.322,0.0
den01,"11/26/2025",32.39,0.651,0.306,0.0
den01,"11/27/2025",37.82,0.823,0.398,0.0
den01,"11/28/2025",42.39,0.807,0.439,0.0
den01,"11/29/2025",26.32,0.85,0.287,0.0
den01,"11/30/2025",19.24,0.776,0.227,0.0
den01,"12/01/2025",31.02,0.868,0.247,0.0
dlr01,"11/25/2025",35.77,0.919,0.489,-999
dlr01,"11/26/2025",36.72,0.841,0.397,-999
dlr01,"11/27/2025",38.27,0.848,0.51,-999
dlr01,"11/28/2025",40.65,0.783,0.519,-999
dlr01,"11/29/2025",36.98,0.828,0.378,-999
dlr01,"11/30/2025",34.83,0.971,0.424,-999
dlr01,"12/01/2025",26.89,0.971,0.375,-999
drg01,"11/25/2025",35.58,1.001,0.198,0.0
drg01,"11/26/2025",33.39,1.001,0.007,0.0
drg01,"11/27/2025",34.67,1.001,0.021,0.01
drg01,"11/28/2025",35.52,1.001,0.151,0.0
drg01,"11/29/2025",34.01,0.829,0.003,0.0
drg01,"11/30/2025",31.13,1.001,0.183,0.0
drg01,"12/01/2025",29.18,0.933,0.003,0.0
dvc01,"11/25/2025",34.55,0.979,0.501,0.01
dvc01,"11/26/2025",33.33,0.921,0.434,0.0
