Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
ctr01,"11/26/2025",10.51,253.6,120.62
ctr01,"11/27/2025",9.4,98.1,126.44
ctr01,"11/28/2025",22.82,292.7,121.14
ctr01,"11/29/2025",16.67,270.1,128.34
ctr01,"11/30/2025",27.85,228.8,99.39
ctr01,"12/01/2025",24.49,295.9,128.77
ctr02,"11/25/2025",9.95,29.9,115.63
ctr02,"11/26/2025",9.95,146.6,132.0
ctr02,"11/27/2025",8.28,116.5,136.9
ctr02,"11/28/2025",33.44,261.1,130.85
ctr02,"11/29/2025",29.53,286.0,138.38
ctr02,"11/30/2025",23.94,213.4,100.91
ctr02,"12/01/2025",27.85,293.6,134.13
ctz01,"11/25/2025",12.19,197.7,108.01
ctz01,"11/26/2025",11.63,182.3,93.7
ctz01,"11/27/2025",9.4,25.5,113.34
ctz01,"11/28/2025",15.55,162.5,114.77
ctz01,"11/29/2025",16.67,335.5,116.57
ctz01,"11/30/2025",19.46,150.7,32.36
ctz01,"12/01/2025",17.22,326.7,108.68
cya01,"11/25/2025",-999,-999,-999
cya01,"11/26/2025",-999,-999,-999
cya01,"11/27/2025",-999,-999,-999
cya01,"11/28/2025",-999,-999,-999
cya01,"11/29/2025",-999,-999,-999
cya01,"11/30/2025",-999,-999,-999
cya01,"12/01/2025",-999,-999,-999
den01,"11/25/2025",19.24,272.9,97.41
den01,"11/26/2025",9.89,36.0,80.65
den01,"11/27/2025",12.76,4.4,103.69
den01,"11/28/2025",20.87,343.6,99.15
den01,"11/29/2025",29.1,34.6,101.75
den01,"11/30/2025",11.88,347.0,56.74
den01,"12/01/2025",13.5,245.0,110.26
dlr01,"11/25/2025",-999,-999,-999
dlr01,"11/26/2025",-999,-999,-999
dlr01,"11/27/2025",-999,-999,-999
dlr01,"11/28/2025",-999,-999,-999
dlr01,"11/29/2025",-999,-999,-999
dlr01,"11/30/2025",-999,-999,-999
dlr01,"12/01/2025",-999,-999,-999
drg01,"11/25/2025",14.09,210.7,104.05
drg01,"11/26/2025",14.53,234.1,102.31
drg01,"11/27/2025",5.94,284.4,107.75
drg01,"11/28/2025",15.76,227.1,114.24
drg01,"11/29/2025",15.78,227.0,120.02
drg01,"11/30/2025",17.84,319.6,40.83
drg01,"12/01/2025",20.2,303.1,118.98
dvc01,"11/25/2025",18.34,319.3,136.2
dvc01,"11/26/2025",12.19,319.8,112.85
dvc01,"11/27/2025",11.07,329.5,133.48
dvc01,"11/28/2025",15.55,164.1,116.53
dvc01,"11/29/2025",19.46,330.9,125.09
dvc01,"11/30/2025",18.9,282.0,29.38
dvc01,"12/01/2025",20.02,315.9,119.7
eac01,"11/25/2025",23.38,334.4,119.42
eac01,"11/26/2025",13.31,168.3,102.07
eac01,"11/27/2025",17.78,124.8,106.86
eac01,"11/28/2025",21.14,351.6,74.37
eac01,"11/29/2025",32.32,4.6,118.35
eac01,"11/30/2025",22.82,142.3,52.77
eac01,"12/01/2025",18.34,339.6,125.38
egl01,"11/25/2025",19.95,265.1,89.28
egl01,"11/26/2025",23.04,227.8,57.66
egl01,"11/27/2025",11.4,85.9,94.06
egl01,"11/28/2025",26.49,325.9,116.06
egl01,"11/29/2025",14.45,210.3,113.71
egl01,"11/30/2025",11.66,244.2,32.5
egl01,"12/01/2025",13.83,282.8,102.87
ekt01,"11/25/2025",8.28,228.6,110.74
ekt01,"11/26/2025",8.28,251.2,107.58
ekt01,"11/27/2025",10.51,217.3,119.99
ekt01,"11/28/2025",7.16,234.1,78.51
ekt01,"11/29/2025",16.67,313.0,118.85
ekt01,"11/30/2025",15.55,34.2,12.96
ekt01,"12/01/2025",9.4,75.3,99.25
fcc01,"11/25/2025",33.38,292.1,107.97
fcc01,"11/26/2025",9.43,317.3,59.84
fcc01,"11/27/2025",10.26,314.8,51.0
fcc01,"11/28/2025",38.05,305.3,91.69
fcc01,"11/29/2025",41.74,323.2,95.59
fcc01,"11/30/2025",9.56,31.0,49.36
fcc01,"12/01/2025",16.62,137.2,89.74
fcl01,"11/25/2025",23.24,188.0,179.15
fcl01,"11/26/2025",9.21,87.5,91.34
fcl01,"11/27/2025",8.55,101.9,79.06
fcl01,"11/28/2025",29.42,309.5,161.28
fcl01,"11/29/2025",27.85,3.4,163.02
fcl01,"11/30/2025",11.49,164.6,81.13
fcl01,"12/01/2025",12.76,139.6,184.76
frt03,"11/25/2025",8.84,25.2,116.62
frt03,"11/26/2025",8.28,297.9,109.06
frt03,"11/27/2025",6.6,74.3,120.89
frt03,"11/28/2025",8.84,142.1,80.41
frt03,"11/29/2025",7.16,136.3,115.93
frt03,"11/30/2025",13.31,283.2,25.06
frt03,"12/01/2025",11.63,138.1,119.61
ftc01,"11/25/2025",25.61,276.5,114.97
ftc01,"11/26/2025",7.16,125.7,64.47
ftc01,"11/27/2025",9.4,130.3,54.04
ftc01,"11/28/2025",31.21,283.2,97.1
ftc01,"11/29/2025",26.17,300.2,100.96
ftc01,"11/30/2025",8.28,128.9,53.57
ftc01,"12/01/2025",14.43,145.0,106.27
ftc03,"11/25/2025",33.11,8.8,125.44
ftc03,"11/26/2025",10.01,114.1,61.01
ftc03,"11/27/2025",10.08,163.8,48.64
ftc03,"11/28/2025",26.46,290.0,98.9
ftc03,"11/29/2025",36.4,1.6,118.55
ftc03,"11/30/2025",14.25,152.5,48.19
ftc03,"12/01/2025",13.01,163.4,115.77
ftl01,"11/25/2025",25.05,23.0,110.82
ftl01,"11/26/2025",11.07,32.9,102.76
