Station,Date,"Gust Speed","Gust Dir","Solar Rad"
id,date,mph,degrees,W/m2
pnr01,"11/29/2025",17.22,155.5,81.69
pnr01,"11/30/2025",10.01,122.9,92.23
pnr01,"12/01/2025",18.07,273.7,120.92
rfd01,"11/25/2025",16.44,27.5,117.78
rfd01,"11/26/2025",10.6,0.1,109.76
rfd01,"11/27/2025",11.4,112.2,119.54
rfd01,"11/28/2025",10.08,121.1,76.46
rfd01,"11/29/2025",30.04,2.2,119.79
rfd01,"11/30/2025",21.7,114.8,88.24
rfd01,"12/01/2025",18.48,325.6,121.06
san01,"11/25/2025",10.51,12.2,125.25
san01,"11/26/2025",11.63,178.9,128.51
san01,"11/27/2025",8.84,3.6,134.92
san01,"11/28/2025",23.38,214.0,136.46
san01,"11/29/2025",13.87,167.4,139.62
san01,"11/30/2025",27.29,171.6,104.01
san01,"12/01/2025",17.78,277.2,125.01
sbt01,"11/25/2025",30.09,252.6,115.92
sbt01,"11/26/2025",17.78,181.4,95.89
sbt01,"11/27/2025",16.11,150.0,117.12
sbt01,"11/28/2025",18.34,335.6,48.39
sbt01,"11/29/2025",32.88,319.1,128.65
sbt01,"11/30/2025",23.38,147.2,53.32
sbt01,"12/01/2025",23.38,285.5,127.57
scm01,"11/25/2025",27.85,321.6,116.1
scm01,"11/26/2025",17.78,146.0,86.48
scm01,"11/27/2025",13.31,171.4,124.11
scm01,"11/28/2025",23.38,317.7,71.37
scm01,"11/29/2025",39.03,316.5,127.04
scm01,"11/30/2025",22.26,121.6,60.58
scm01,"12/01/2025",17.78,120.9,121.03
sld01,"11/25/2025",25.61,218.3,124.57
sld01,"11/26/2025",40.71,292.9,120.89
sld01,"11/27/2025",21.7,227.9,125.42
sld01,"11/28/2025",27.29,322.6,120.52
sld01,"11/29/2025",26.73,268.8,125.74
sld01,"11/30/2025",16.11,136.1,57.7
sld01,"12/01/2025",22.26,259.2,127.85
slt01,"11/25/2025",9.84,308.6,105.21
slt01,"11/26/2025",8.59,188.0,79.46
slt01,"11/27/2025",6.51,257.6,117.01
slt01,"11/28/2025",16.64,223.4,69.16
slt01,"11/29/2025",17.6,290.1,101.27
slt01,"11/30/2025",13.48,257.5,23.18
slt01,"12/01/2025",16.07,256.8,118.63
stg01,"11/25/2025",49.48,335.8,118.91
stg01,"11/26/2025",15.71,148.8,62.79
stg01,"11/27/2025",20.54,162.0,70.21
stg01,"11/28/2025",29.24,215.1,55.52
stg01,"11/29/2025",45.97,338.7,116.33
stg01,"11/30/2025",23.31,111.8,55.58
stg01,"12/01/2025",25.37,327.5,117.08
stn01,"11/25/2025",34.49,2.1,119.1
stn01,"11/26/2025",18.57,204.8,76.24
stn01,"11/27/2025",13.53,156.3,119.33
stn01,"11/28/2025",19.42,352.8,43.78
stn01,"11/29/2025",35.01,2.2,129.75
stn01,"11/30/2025",20.24,146.2,71.84
stn01,"12/01/2025",23.94,349.5,124.65
twc01,"11/25/2025",7.72,253.0,91.32
twc01,"11/26/2025",11.63,282.8,109.7
twc01,"11/27/2025",8.84,228.1,131.34
twc01,"11/28/2025",13.87,127.0,129.01
twc01,"11/29/2025",18.9,321.7,132.98
twc01,"11/30/2025",23.94,324.3,42.93
twc01,"12/01/2025",22.82,271.5,132.69
wcf01,"11/25/2025",14.04,286.1,128.57
wcf01,"11/26/2025",16.05,339.8,129.95
wcf01,"11/27/2025",11.86,157.7,133.77
wcf01,"11/28/2025",28.63,275.4,83.75
wcf01,"11/29/2025",27.96,328.4,133.19
wcf01,"11/30/2025",15.04,9.0,61.13
wcf01,"12/01/2025",8.33,156.8,103.72
wfd01,"11/25/2025",22.82,166.0,108.17
wfd01,"11/26/2025",26.17,278.9,45.25
wfd01,"11/27/2025",8.28,347.3,91.67
wfd01,"11/28/2025",28.41,195.3,71.37
wfd01,"11/29/2025",25.61,179.0,112.22
wfd01,"11/30/2025",10.51,261.4,28.16
wfd01,"12/01/2025",13.87,13.5,95.4
wls01,"11/25/2025",23.53,4.5,124.39
wls01,"11/26/2025",22.86,171.3,100.98
wls01,"11/27/2025",16.0,169.1,120.26
wls01,"11/28/2025",20.6,179.0,56.69
wls01,"11/29/2025",29.53,344.2,109.76
wls01,"11/30/2025",25.05,149.6,80.95
wls01,"12/01/2025",23.38,326.5,120.68
wry02,"11/25/2025",29.95,305.2,108.93
wry02,"11/26/2025",11.62,155.9,56.2
wry02,"11/27/2025",11.84,118.4,86.18
wry02,"11/28/2025",14.03,125.4,33.79
wry02,"11/29/2025",28.72,329.4,107.13
wry02,"11/30/2025",16.15,105.3,70.49
wry02,"12/01/2025",18.48,294.0,108.44
yam01,"11/25/2025",18.86,311.3,105.23
yam01,"11/26/2025",15.93,25.9,53.83
yam01,"11/27/2025",10.96,296.8,78.16
yam01,"11/28/2025",20.89,320.7,74.78
yam01,"11/29/2025",24.56,323.1,110.96
yam01,"11/30/2025",23.82,157.2,39.35
yam01,"12/01/2025",13.23,25.6,105.59
yjk01,"11/25/2025",19.15,303.1,141.1
yjk01,"11/26/2025",16.15,294.4,120.2
yjk01,"11/27/2025",10.16,346.6,134.85
yjk01,"11/28/2025",15.49,217.2,129.71
yjk01,"11/29/2025",14.61,8.5,132.77
yjk01,"11/30/2025",21.34,277.3,27.4
yjk01,"12/01/2025",16.15,306.1,137.64
yuc01,"11/25/2025",13.37,146.6,120.72
yuc01,"11/26/2025",11.02,133.5,101.74
yuc01,"11/27/2025",10.18,297.0,124.31
yuc01,"11/28/2025",13.37,156.1,124.31
yuc01,"11/29/2025",14.54,327.6,125.93
yuc01,"11/30/2025",12.86,144.4,32.91
yuc01,"12/01/2025",17.22,283.7,121.3
yum02,"11/25/2025",38.48,337.9,115.95
yum02,"11/26/2025",14.99,206.8,73.24
yum02,"11/27/2025",13.87,115.0,78.11
yum02,"11/28/2025",16.67,112.1,56.8
yum02,"11/29/2025",40.71,351.3,118.67
yum02,"11/30/2025",21.7,113.1,63.74
yum02,"12/01/2025",23.94,333.6,119.23
